month,state,handgun,long_gun,total,population
2017-03,South Carolina,13284,6749,20033,4625364
2017-03,South Dakota,3361,3686,7047,814180
2017-03,Tennessee,29369,15922,45291,6346105
2017-03,Texas,55983,34308,90291,25145561
2017-03,Utah,4401,4010,8411,2763885
2017-03,Vermont,2007,1793,3800,625741
2017-03,Virginia,29873,17754,47627,8001024
2017-03,Washington,20308,12740,33048,6724540
2017-03,West Virginia,8887,6616,15503,1852994
2017-03,Wisconsin,19864,16763,36627,5686986
2017-03,Wyoming,2017,2038,4055,563626
2017-02,Alabama,10739,7028,17767,4779736
2017-02,Arizona,15642,8881,24523,6392017
2017-02,Arkansas,7974,5938,13912,2915918
2017-02,California,44363,24987,69350,37253956
2017-02,Colorado,20958,13477,34435,5029196
2017-02,Connecticut,6445,2187,8632,3574097
2017-02,Delaware,2342,1663,4005,897934
2017-02,District of Columbia,65,1,66,601723
2017-02,Florida,59201,23479,82680,18801310
2017-02,Georgia,19007,9334,28341,9687653
2017-02,Idaho,4051,3904,7955,1567582
2017-02,Illinois,27418,12635,40053,12830632
2017-02,Indiana,27343,13221,40564,6483802
2017-02,Iowa,318,2403,2721,3046355
2017-02,Kansas,8082,5501,13583,2853118
2017-02,Kentucky,14975,8636,23611,4339367
2017-02,Louisiana,12698,7601,20299,4533372
2017-02,Maine,3758,2544,6302,1328361
2017-02,Maryland,4925,5534,10459,5773552
2017-02,Massachusetts,6280,2901,9181,6547629
2017-02,Michigan,15564,9804,25368,9883640
2017-02,Minnesota,12047,9641,21688,5303925
2017-02,Mississippi,11285,6045,17330,2967297
2017-02,Missouri,26726,16012,42738,5988927
2017-02,Montana,2912,3429,6341,989415
2017-02,Nebraska,171,1937,2108,1826341
2017-02,Nevada,5644,2732,8376,2700551
2017-02,New Hampshire,6092,3098,9190,1316470
2017-02,New Jersey,5904,3481,9385,8791894
2017-02,New Mexico,7032,4632,11664,2059179
2017-02,New York,11465,14080,25545,19378102
2017-02,North Carolina,1410,13488,14898,9535483
2017-02,North Dakota,1807,2213,4020,672591
2017-02,Ohio,36244,18068,54312,11536504
2017-02,Oklahoma,14051,9769,23820,3751351
2017-02,Oregon,16425,11726,28151,3831074
2017-02,Pennsylvania,54107,12734,66841,12702379
2017-02,Rhode Island,1278,731,2009,1052567
2017-02,South Carolina,12510,6324,18834,4625364
2017-02,South Dakota,3569,3533,7102,814180
2017-02,Tennessee,31982,16425,48407,6346105
2017-02,Texas,56786,33238,90024,25145561
2017-02,Utah,4371,4252,8623,2763885
2017-02,Vermont,1885,1538,3423,625741
2017-02,Virginia,28434,16587,45021,8001024
2017-02,Washington,18785,11860,30645,6724540
2017-02,West Virginia,8917,6203,15120,1852994
2017-02,Wisconsin,18147,12247,30394,5686986
2017-02,Wyoming,1839,1646,3485,563626
2017-01,Alabama,6770,6572,13342,4779736
2017-01,Arizona,12108,7353,19461,6392017
2017-01,Arkansas,5174,5278,10452,2915918
2017-01,California,41516,22686,64202,37253956
2017-01,Colorado,17189,11864,29053,5029196
2017-01,Connecticut,6133,2115,8248,3574097
2017-01,Delaware,1815,1466,3281,897934
2017-01,District of Columbia,69,6,75,601723
2017-01,Florida,51599,21867,73466,18801310
2017-01,Georgia,12519,7945,20464,9687653
2017-01,Idaho,2617,3049,5666,1567582
2017-01,Illinois,24594,11185,35779,12830632
2017-01,Indiana,21284,11456,32740,6483802
2017-01,Iowa,180,2015,2195,3046355
2017-01,Kansas,5798,4969,10767,2853118
2017-01,Kentucky,9743,6700,16443,4339367
2017-01,Louisiana,10709,8701,19410,4533372
2017-01,Maine,3094,2447,5541,1328361
2017-01,Maryland,4456,5254,9710,5773552
2017-01,Massachusetts,6069,2871,8940,6547629
2017-01,Michigan,10181,7490,17671,9883640
2017-01,Minnesota,9389,7266,16655,5303925
2017-01,Mississippi,6805,5592,12397,2967297
2017-01,Missouri,20123,13512,33635,5988927
2017-01,Montana,2015,2748,4763,989415
2017-01,Nebraska,141,1673,1814,1826341
2017-01,Nevada,4235,2361,6596,2700551
2017-01,New Hampshire,5332,2836,8168,1316470
2017-01,New Jersey,5719,3355,9074,8791894
2017-01,New Mexico,4781,3641,8422,2059179
2017-01,New York,11059,13412,24471,19378102
2017-01,North Carolina,1073,11218,12291,9535483
2017-01,North Dakota,1370,1892,3262,672591
2017-01,Ohio,27124,15070,42194,11536504
2017-01,Oklahoma,10811,8883,19694,3751351
2017-01,Oregon,12071,8985,21056,3831074
2017-01,Pennsylvania,44199,10689,54888,12702379
2017-01,Rhode Island,1196,687,1883,1052567
2017-01,South Carolina,9374,5678,15052,4625364
2017-01,South Dakota,2371,2803,5174,814180
2017-01,Tennessee,23009,13583,36592,6346105
2017-01,Texas,42697,31314,74011,25145561
2017-01,Utah,3031,2961,5992,2763885
2017-01,Vermont,1338,1214,2552,625741
2017-01,Virginia,21375,14319,35694,8001024
2017-01,Washington,15595,9913,25508,6724540
2017-01,West Virginia,5837,4995,10832,1852994
2017-01,Wisconsin,12346,8888,21234,5686986
2017-01,Wyoming,1329,1433,2762,563626
2016-12,Alabama,13733,17519,31252,4779736
2016-12,Arizona,18024,13785,31809,6392017
2016-12,Arkansas,9192,13433,22625,2915918
2016-12,California,63649,93224,156873,37253956
2016-12,Colorado,25905,21134,47039,5029196
2016-12,Connecticut,8003,3153,11156,3574097
2016-12,Delaware,2689,2981,5670,897934
2016-12,District of Columbia,60,5,65,601723
2016-12,Florida,69842,39880,109722,18801310
2016-12,Georgia,23875,22613,46488,9687653
2016-12,Idaho,5471,7074,12545,1567582
2016-12,Illinois,29658,17164,46822,12830632
2016-12,Indiana,30248,21688,51936,6483802
2016-12,Iowa,391,4822,5213,3046355
2016-12,Kansas,8494,10473,18967,2853118
2016-12,Kentucky,17311,16766,34077,4339367
2016-12,Louisiana,18412,22848,41260,4533372
2016-12,Maine,4641,4713,9354,1328361
2016-12,Maryland,4925,8870,13795,5773552
2016-12,Massachusetts,7050,3884,10934,6547629
2016-12,Michigan,14879,14328,29207,9883640
2016-12,Minnesota,12431,12851,25282,5303925
2016-12,Mississippi,13168,17231,30399,2967297
2016-12,Missouri,29770,27013,56783,5988927
2016-12,Montana,3822,5832,9654,989415
2016-12,Nebraska,268,3697,3965,1826341
2016-12,Nevada,6783,4696,11479,2700551
2016-12,New Hampshire,6625,4225,10850,1316470
2016-12,New Jersey,5394,4979,10373,8791894
2016-12,New Mexico,7484,7149,14633,2059179
2016-12,New York,12074,22585,34659,19378102
2016-12,North Carolina,2163,28023,30186,9535483
2016-12,North Dakota,1799,2927,4726,672591
2016-12,Ohio,40996,29641,70637,11536504
2016-12,Oklahoma,17990,19418,37408,3751351
2016-12,Oregon,18931,16010,34941,3831074
2016-12,Pennsylvania,64220,18688,82908,12702379
2016-12,Rhode Island,1283,953,2236,1052567
2016-12,South Carolina,15600,14782,30382,4625364
2016-12,South Dakota,3525,5131,8656,814180
2016-12,Tennessee,36917,30997,67914,6346105
2016-12,Texas,69163,69272,138435,25145561
2016-12,Utah,6428,9257,15685,2763885
2016-12,Vermont,1802,1998,3800,625741
2016-12,Virginia,32572,27619,60191,8001024
2016-12,Washington,21835,16484,38319,6724540
2016-12,West Virginia,10869,11628,22497,1852994
2016-12,Wisconsin,16521,15036,31557,5686986
2016-12,Wyoming,2540,2984,5524,563626
2016-11,Alabama,10214,13470,23684,4779736
2016-11,Arizona,14850,11994,26844,6392017
2016-11,Arkansas,7226,11866,19092,2915918
2016-11,California,56932,82554,139486,37253956
2016-11,Colorado,24052,19794,43846,5029196
2016-11,Connecticut,7063,3258,10321,3574097
2016-11,Delaware,2490,2751,5241,897934
2016-11,District of Columbia,49,5,54,601723
2016-11,Florida,62351,35718,98069,18801310
2016-11,Georgia,18011,16759,34770,9687653
2016-11,Idaho,4711,6175,10886,1567582
2016-11,Illinois,28463,19005,47468,12830632
2016-11,Indiana,25246,23336,48582,6483802
2016-11,Iowa,399,5112,5511,3046355
2016-11,Kansas,8136,9854,17990,2853118
2016-11,Kentucky,12847,14844,27691,4339367
2016-11,Louisiana,14674,18349,33023,4533372
2016-11,Maine,4135,5097,9232,1328361
2016-11,Maryland,5356,9509,14865,5773552
2016-11,Massachusetts,7117,4783,11900,6547629
2016-11,Michigan,15803,18241,34044,9883640
2016-11,Minnesota,12338,15597,27935,5303925
2016-11,Mississippi,9382,13481,22863,2967297
2016-11,Missouri,23719,26338,50057,5988927
2016-11,Montana,3093,5546,8639,989415
2016-11,Nebraska,216,3688,3904,1826341
2016-11,Nevada,6338,4291,10629,2700551
2016-11,New Hampshire,6283,4822,11105,1316470
2016-11,New Jersey,5398,5720,11118,8791894
2016-11,New Mexico,6153,6034,12187,2059179
2016-11,New York,11157,25229,36386,19378102
2016-11,North Carolina,1709,23215,24924,9535483
2016-11,North Dakota,1827,3546,5373,672591
2016-11,Ohio,37304,32312,69616,11536504
2016-11,Oklahoma,16348,17019,33367,3751351
2016-11,Oregon,17013,15711,32724,3831074
2016-11,Pennsylvania,66188,20487,86675,12702379
2016-11,Rhode Island,1271,1065,2336,1052567
2016-11,South Carolina,12839,11547,24386,4625364
2016-11,South Dakota,3456,5677,9133,814180
2016-11,Tennessee,29502,25976,55478,6346105
2016-11,Texas,58778,56057,114835,25145561
2016-11,Utah,5232,7021,12253,2763885
2016-11,Vermont,1342,1975,3317,625741
2016-11,Virginia,29544,26823,56367,8001024
2016-11,Washington,19534,16266,35800,6724540
2016-11,West Virginia,7824,11134,18958,1852994
2016-11,Wisconsin,17580,19631,37211,5686986
2016-11,Wyoming,2097,2691,4788,563626
2016-10,Alabama,7757,8865,16622,4779736
2016-10,Arizona,12405,9382,21787,6392017
2016-10,Arkansas,5607,8235,13842,2915918
2016-10,California,45785,54333,100118,37253956
2016-10,Colorado,20343,16962,37305,5029196
2016-10,Connecticut,6374,2698,9072,3574097
2016-10,Delaware,2070,2082,4152,897934
2016-10,District of Columbia,59,2,61,601723
2016-10,Florida,50003,27010,77013,18801310
2016-10,Georgia,13799,12262,26061,9687653
2016-10,Idaho,3913,5787,9700,1567582
2016-10,Illinois,33986,14739,48725,12830632
2016-10,Indiana,21058,16857,37915,6483802
2016-10,Iowa,221,3557,3778,3046355
2016-10,Kansas,6527,6775,13302,2853118
2016-10,Kentucky,10111,10030,20141,4339367
2016-10,Louisiana,11865,13673,25538,4533372
2016-10,Maine,4320,6926,11246,1328361
2016-10,Maryland,4280,6786,11066,5773552
2016-10,Massachusetts,6415,3680,10095,6547629
2016-10,Michigan,12680,13539,26219,9883640
2016-10,Minnesota,11394,18553,29947,5303925
2016-10,Mississippi,7564,8323,15887,2967297
2016-10,Missouri,21994,20919,42913,5988927
2016-10,Montana,3035,6689,9724,989415
2016-10,Nebraska,144,2817,2961,1826341
2016-10,Nevada,5614,3471,9085,2700551
2016-10,New Hampshire,5968,4672,10640,1316470
2016-10,New Jersey,5391,4567,9958,8791894
2016-10,New Mexico,5449,4826,10275,2059179
2016-10,New York,10820,21094,31914,19378102
2016-10,North Carolina,1353,15980,17333,9535483
2016-10,North Dakota,1674,4451,6125,672591
2016-10,Ohio,30593,21991,52584,11536504
2016-10,Oklahoma,11560,11325,22885,3751351
2016-10,Oregon,14749,13412,28161,3831074
2016-10,Pennsylvania,56836,16223,73059,12702379
2016-10,Rhode Island,1162,950,2112,1052567
2016-10,South Carolina,9270,7797,17067,4625364
2016-10,South Dakota,3127,6859,9986,814180
2016-10,Tennessee,23542,18514,42056,6346105
2016-10,Texas,46518,44519,91037,25145561
2016-10,Utah,3588,4603,8191,2763885
2016-10,Vermont,1485,2099,3584,625741
2016-10,Virginia,24337,20433,44770,8001024
2016-10,Washington,18601,15455,34056,6724540
2016-10,West Virginia,6721,7737,14458,1852994
2016-10,Wisconsin,15514,17376,32890,5686986
2016-10,Wyoming,1709,2307,4016,563626
2016-09,Alabama,7125,8449,15574,4779736
2016-09,Arizona,11769,8951,20720,6392017
2016-09,Arkansas,4802,6284,11086,2915918
2016-09,California,39213,43015,82228,37253956
2016-09,Colorado,17390,14521,31911,5029196
2016-09,Connecticut,5424,2472,7896,3574097
2016-09,Delaware,1759,1894,3653,897934
2016-09,District of Columbia,46,4,50,601723
2016-09,Florida,45848,22439,68287,18801310
2016-09,Georgia,12258,9766,22024,9687653
2016-09,Idaho,3124,5230,8354,1567582
2016-09,Illinois,20298,11876,32174,12830632
2016-09,Indiana,17402,13402,30804,6483802
2016-09,Iowa,154,2694,2848,3046355
2016-09,Kansas,4903,5614,10517,2853118
2016-09,Kentucky,8917,8172,17089,4339367
2016-09,Louisiana,12875,13747,26622,4533372
2016-09,Maine,3841,5203,9044,1328361
2016-09,Maryland,3626,5428,9054,5773552
2016-09,Massachusetts,5584,3210,8794,6547629
2016-09,Michigan,10056,11311,21367,9883640
2016-09,Minnesota,9548,16213,25761,5303925
2016-09,Mississippi,6904,6592,13496,2967297
2016-09,Missouri,17808,15528,33336,5988927
2016-09,Montana,2702,5404,8106,989415
2016-09,Nebraska,104,2144,2248,1826341
2016-09,Nevada,4281,2764,7045,2700551
2016-09,New Hampshire,5100,3766,8866,1316470
2016-09,New Jersey,5249,3864,9113,8791894
2016-09,New Mexico,4793,4277,9070,2059179
2016-09,New York,9700,17804,27504,19378102
2016-09,North Carolina,1068,14018,15086,9535483
2016-09,North Dakota,1273,3381,4654,672591
2016-09,Ohio,24297,18038,42335,11536504
2016-09,Oklahoma,9638,10003,19641,3751351
2016-09,Oregon,13325,13046,26371,3831074
2016-09,Pennsylvania,46101,12697,58798,12702379
2016-09,Rhode Island,1031,767,1798,1052567
2016-09,South Carolina,8725,7088,15813,4625364
2016-09,South Dakota,2530,4663,7193,814180
2016-09,Tennessee,20721,15120,35841,6346105
2016-09,Texas,37858,42308,80166,25145561
2016-09,Utah,2918,4440,7358,2763885
2016-09,Vermont,1233,1701,2934,625741
2016-09,Virginia,20325,16687,37012,8001024
2016-09,Washington,15261,13621,28882,6724540
2016-09,West Virginia,6122,6495,12617,1852994
2016-09,Wisconsin,13271,14796,28067,5686986
2016-09,Wyoming,1521,2207,3728,563626
2016-08,Alabama,8243,7808,16051,4779736
2016-08,Arizona,12069,8601,20670,6392017
2016-08,Arkansas,5666,6108,11774,2915918
2016-08,California,43344,43552,86896,37253956
2016-08,Colorado,18116,14054,32170,5029196
2016-08,Connecticut,9929,3941,13870,3574097
2016-08,Delaware,1662,1562,3224,897934
2016-08,District of Columbia,56,3,59,601723
2016-08,Florida,49867,23359,73226,18801310
2016-08,Georgia,12627,9187,21814,9687653
2016-08,Idaho,3194,4214,7408,1567582
2016-08,Illinois,60745,30602,91347,12830632
2016-08,Indiana,18906,13606,32512,6483802
2016-08,Iowa,182,2345,2527,3046355
2016-08,Kansas,4987,5437,10424,2853118
2016-08,Kentucky,8842,7187,16029,4339367
2016-08,Louisiana,13082,10527,23609,4533372
2016-08,Maine,3294,3546,6840,1328361
2016-08,Maryland,4249,5109,9358,5773552
2016-08,Massachusetts,5601,2915,8516,6547629
2016-08,Michigan,10650,9117,19767,9883640
2016-08,Minnesota,9391,11884,21275,5303925
2016-08,Mississippi,11193,9085,20278,2967297
2016-08,Missouri,18394,15365,33759,5988927
2016-08,Montana,2882,4487,7369,989415
2016-08,Nebraska,126,1805,1931,1826341
2016-08,Nevada,4676,2629,7305,2700551
2016-08,New Hampshire,4732,3421,8153,1316470
2016-08,New Jersey,5541,3962,9503,8791894
2016-08,New Mexico,5170,4224,9394,2059179
2016-08,New York,10716,14278,24994,19378102
2016-08,North Carolina,1208,12513,13721,9535483
2016-08,North Dakota,1284,2601,3885,672591
2016-08,Ohio,26261,17526,43787,11536504
2016-08,Oklahoma,10881,9762,20643,3751351
2016-08,Oregon,12661,10173,22834,3831074
2016-08,Pennsylvania,46155,11700,57855,12702379
2016-08,Rhode Island,1039,770,1809,1052567
2016-08,South Carolina,8828,6906,15734,4625364
2016-08,South Dakota,2387,3559,5946,814180
2016-08,Tennessee,22737,16198,38935,6346105
2016-08,Texas,42302,40269,82571,25145561
2016-08,Utah,2917,3503,6420,2763885
2016-08,Vermont,1269,1296,2565,625741
2016-08,Virginia,21108,15802,36910,8001024
2016-08,Washington,15083,11376,26459,6724540
2016-08,West Virginia,6916,5283,12199,1852994
2016-08,Wisconsin,14764,12079,26843,5686986
2016-08,Wyoming,1721,2079,3800,563626
2016-07,Alabama,10132,7392,17524,4779736
2016-07,Arizona,13693,8643,22336,6392017
2016-07,Arkansas,6323,5053,11376,2915918
2016-07,California,46361,47594,93955,37253956
2016-07,Colorado,18765,15176,33941,5029196
2016-07,Connecticut,11328,4015,15343,3574097
2016-07,Delaware,1859,1569,3428,897934
2016-07,District of Columbia,57,1,58,601723
2016-07,Florida,57902,28000,85902,18801310
2016-07,Georgia,15342,8597,23939,9687653
2016-07,Idaho,3592,3576,7168,1567582
2016-07,Illinois,21421,11881,33302,12830632
2016-07,Indiana,19508,12191,31699,6483802
2016-07,Iowa,186,2227,2413,3046355
2016-07,Kansas,6075,4942,11017,2853118
2016-07,Kentucky,9378,6615,15993,4339367
2016-07,Louisiana,21637,12252,33889,4533372
2016-07,Maine,3426,3026,6452,1328361
2016-07,Maryland,3973,5505,9478,5773552
2016-07,Massachusetts,6257,5108,11365,6547629
2016-07,Michigan,11308,8095,19403,9883640
2016-07,Minnesota,9743,9207,18950,5303925
2016-07,Mississippi,10425,6125,16550,2967297
2016-07,Missouri,20791,13575,34366,5988927
2016-07,Montana,2894,3882,6776,989415
2016-07,Nebraska,93,1529,1622,1826341
2016-07,Nevada,5194,3006,8200,2700551
2016-07,New Hampshire,5200,3716,8916,1316470
2016-07,New Jersey,5708,4155,9863,8791894
2016-07,New Mexico,5380,3966,9346,2059179
2016-07,New York,10900,13073,23973,19378102
2016-07,North Carolina,1157,12487,13644,9535483
2016-07,North Dakota,1333,2457,3790,672591
2016-07,Ohio,27876,17720,45596,11536504
2016-07,Oklahoma,11750,8792,20542,3751351
2016-07,Oregon,14284,10507,24791,3831074
2016-07,Pennsylvania,46843,11793,58636,12702379
2016-07,Rhode Island,1133,951,2084,1052567
2016-07,South Carolina,9967,5880,15847,4625364
2016-07,South Dakota,2490,3004,5494,814180
2016-07,Tennessee,26276,16118,42394,6346105
2016-07,Texas,50499,34266,84765,25145561
2016-07,Utah,3381,3328,6709,2763885
2016-07,Vermont,1293,1201,2494,625741
2016-07,Virginia,24671,16731,41402,8001024
2016-07,Washington,15652,11536,27188,6724540
2016-07,West Virginia,6417,5134,11551,1852994
2016-07,Wisconsin,13182,9870,23052,5686986
2016-07,Wyoming,1619,1769,3388,563626
2016-06,Alabama,9146,7273,16419,4779736
2016-06,Arizona,12942,8614,21556,6392017
2016-06,Arkansas,5454,4574,10028,2915918
2016-06,California,43042,37512,80554,37253956
2016-06,Colorado,17790,15115,32905,5029196
2016-06,Connecticut,12011,3974,15985,3574097
2016-06,Delaware,1842,1621,3463,897934
2016-06,District of Columbia,46,3,49,601723
2016-06,Florida,55934,29501,85435,18801310
2016-06,Georgia,13307,7859,21166,9687653
2016-06,Idaho,3445,4143,7588,1567582
2016-06,Illinois,22277,12787,35064,12830632
2016-06,Indiana,18307,11949,30256,6483802
2016-06,Iowa,129,2004,2133,3046355
2016-06,Kansas,5275,4447,9722,2853118
2016-06,Kentucky,8703,6584,15287,4339367
2016-06,Louisiana,12082,8428,20510,4533372
2016-06,Maine,3433,2943,6376,1328361
2016-06,Maryland,4288,4864,9152,5773552
2016-06,Massachusetts,5965,3404,9369,6547629
2016-06,Michigan,10335,8282,18617,9883640
2016-06,Minnesota,8880,9723,18603,5303925
2016-06,Mississippi,7804,4692,12496,2967297
2016-06,Missouri,18770,13295,32065,5988927
2016-06,Montana,2968,4379,7347,989415
2016-06,Nebraska,107,1609,1716,1826341
2016-06,Nevada,4949,3114,8063,2700551
2016-06,New Hampshire,5166,3453,8619,1316470
2016-06,New Jersey,6266,4294,10560,8791894
2016-06,New Mexico,5336,4231,9567,2059179
2016-06,New York,10062,12213,22275,19378102
2016-06,North Carolina,1181,11749,12930,9535483
2016-06,North Dakota,1312,2377,3689,672591
2016-06,Ohio,24397,17086,41483,11536504
2016-06,Oklahoma,11933,8811,20744,3751351
2016-06,Oregon,14054,11400,25454,3831074
2016-06,Pennsylvania,44677,11841,56518,12702379
2016-06,Rhode Island,1146,862,2008,1052567
2016-06,South Carolina,9619,5599,15218,4625364
2016-06,South Dakota,2460,3139,5599,814180
2016-06,Tennessee,22476,15194,37670,6346105
2016-06,Texas,46816,33501,80317,25145561
2016-06,Utah,3433,3731,7164,2763885
2016-06,Vermont,1240,1225,2465,625741
2016-06,Virginia,20132,15480,35612,8001024
2016-06,Washington,17040,13267,30307,6724540
2016-06,West Virginia,6602,4821,11423,1852994
2016-06,Wisconsin,12464,11144,23608,5686986
2016-06,Wyoming,1638,2110,3748,563626
2016-05,Alabama,7903,5256,13159,4779736
2016-05,Arizona,10994,6539,17533,6392017
2016-05,Arkansas,4551,3596,8147,2915918
2016-05,California,38301,28723,67024,37253956
2016-05,Colorado,16293,11252,27545,5029196
2016-05,Connecticut,9953,3362,13315,3574097
2016-05,Delaware,1722,1121,2843,897934
2016-05,District of Columbia,47,6,53,601723
2016-05,Florida,42845,17025,59870,18801310
2016-05,Georgia,10866,5510,16376,9687653
2016-05,Idaho,3132,3323,6455,1567582
2016-05,Illinois,19264,8686,27950,12830632
2016-05,Indiana,16842,9264,26106,6483802
2016-05,Iowa,121,1569,1690,3046355
2016-05,Kansas,4648,3553,8201,2853118
2016-05,Kentucky,8049,5244,13293,4339367
2016-05,Louisiana,9561,5788,15349,4533372
2016-05,Maine,3009,2464,5473,1328361
2016-05,Maryland,4099,4148,8247,5773552
2016-05,Massachusetts,5278,2325,7603,6547629
2016-05,Michigan,9834,6490,16324,9883640
2016-05,Minnesota,8772,7638,16410,5303925
2016-05,Mississippi,7005,3541,10546,2967297
2016-05,Missouri,16909,10162,27071,5988927
2016-05,Montana,2724,3881,6605,989415
2016-05,Nebraska,78,1277,1355,1826341
2016-05,Nevada,4365,2329,6694,2700551
2016-05,New Hampshire,4262,2645,6907,1316470
2016-05,New Jersey,6542,3027,9569,8791894
2016-05,New Mexico,4485,3269,7754,2059179
2016-05,New York,10118,10815,20933,19378102
2016-05,North Carolina,1119,8506,9625,9535483
2016-05,North Dakota,1186,1798,2984,672591
2016-05,Ohio,26069,13219,39288,11536504
2016-05,Oklahoma,10385,6490,16875,3751351
2016-05,Oregon,12038,9194,21232,3831074
2016-05,Pennsylvania,39963,8770,48733,12702379
2016-05,Rhode Island,936,536,1472,1052567
2016-05,South Carolina,7570,3922,11492,4625364
2016-05,South Dakota,2161,2666,4827,814180
2016-05,Tennessee,19232,10394,29626,6346105
2016-05,Texas,39446,25424,64870,25145561
2016-05,Utah,3097,3067,6164,2763885
2016-05,Vermont,1096,1026,2122,625741
2016-05,Virginia,18183,10896,29079,8001024
2016-05,Washington,14601,9033,23634,6724540
2016-05,West Virginia,6099,4179,10278,1852994
2016-05,Wisconsin,11438,8481,19919,5686986
2016-05,Wyoming,1497,1671,3168,563626
2016-04,Alabama,9742,6977,16719,4779736
2016-04,Arizona,13086,7278,20364,6392017
2016-04,Arkansas,5334,4513,9847,2915918
2016-04,California,41862,30133,71995,37253956
2016-04,Colorado,17897,12560,30457,5029196
2016-04,Connecticut,11882,3936,15818,3574097
2016-04,Delaware,1878,1313,3191,897934
2016-04,District of Columbia,55,3,58,601723
2016-04,Florida,48697,19716,68413,18801310
2016-04,Georgia,13673,6764,20437,9687653
2016-04,Idaho,3376,3720,7096,1567582
2016-04,Illinois,24894,11132,36026,12830632
2016-04,Indiana,20756,12137,32893,6483802
2016-04,Iowa,184,2453,2637,3046355
2016-04,Kansas,5785,4540,10325,2853118
2016-04,Kentucky,9657,7070,16727,4339367
2016-04,Louisiana,11703,6552,18255,4533372
2016-04,Maine,3970,3254,7224,1328361
2016-04,Maryland,4294,4966,9260,5773552
2016-04,Massachusetts,6227,3009,9236,6547629
2016-04,Michigan,13598,8647,22245,9883640
2016-04,Minnesota,12547,12295,24842,5303925
2016-04,Mississippi,8765,4139,12904,2967297
2016-04,Missouri,19787,12754,32541,5988927
2016-04,Montana,2989,4388,7377,989415
2016-04,Nebraska,116,1650,1766,1826341
2016-04,Nevada,5135,2793,7928,2700551
2016-04,New Hampshire,5337,3400,8737,1316470
2016-04,New Jersey,6887,3331,10218,8791894
2016-04,New Mexico,5311,3967,9278,2059179
2016-04,New York,11281,14660,25941,19378102
2016-04,North Carolina,1250,10280,11530,9535483
2016-04,North Dakota,2083,2791,4874,672591
2016-04,Ohio,32959,17664,50623,11536504
2016-04,Oklahoma,13132,8302,21434,3751351
2016-04,Oregon,13102,9998,23100,3831074
2016-04,Pennsylvania,51472,11628,63100,12702379
2016-04,Rhode Island,1149,746,1895,1052567
2016-04,South Carolina,9617,4618,14235,4625364
2016-04,South Dakota,2981,3412,6393,814180
2016-04,Tennessee,22965,12049,35014,6346105
2016-04,Texas,45339,27823,73162,25145561
2016-04,Utah,3560,3646,7206,2763885
2016-04,Vermont,1483,1557,3040,625741
2016-04,Virginia,21709,13235,34944,8001024
2016-04,Washington,15988,9698,25686,6724540
2016-04,West Virginia,6908,5417,12325,1852994
2016-04,Wisconsin,15693,13348,29041,5686986
2016-04,Wyoming,1764,1952,3716,563626
2016-03,Alabama,14372,9115,23487,4779736
2016-03,Arizona,14387,7907,22294,6392017
2016-03,Arkansas,7603,5448,13051,2915918
2016-03,California,45266,31454,76720,37253956
2016-03,Colorado,20049,12776,32825,5029196
2016-03,Connecticut,13996,4388,18384,3574097
2016-03,Delaware,2353,1611,3964,897934
2016-03,District of Columbia,74,6,80,601723
2016-03,Florida,54164,22000,76164,18801310
2016-03,Georgia,18272,8517,26789,9687653
2016-03,Idaho,3925,4208,8133,1567582
2016-03,Illinois,29052,12971,42023,12830632
2016-03,Indiana,27883,13485,41368,6483802
2016-03,Iowa,252,3012,3264,3046355
2016-03,Kansas,7683,5368,13051,2853118
2016-03,Kentucky,13816,8391,22207,4339367
2016-03,Louisiana,13738,7553,21291,4533372
2016-03,Maine,4725,3320,8045,1328361
2016-03,Maryland,4866,5363,10229,5773552
2016-03,Massachusetts,7019,3275,10294,6547629
2016-03,Michigan,18316,10145,28461,9883640
2016-03,Minnesota,13738,11323,25061,5303925
2016-03,Mississippi,11287,5697,16984,2967297
2016-03,Missouri,27030,15359,42389,5988927
2016-03,Montana,3305,4621,7926,989415
2016-03,Nebraska,132,1944,2076,1826341
2016-03,Nevada,6116,3062,9178,2700551
2016-03,New Hampshire,5912,3506,9418,1316470
2016-03,New Jersey,7346,3582,10928,8791894
2016-03,New Mexico,6497,4466,10963,2059179
2016-03,New York,12474,15134,27608,19378102
2016-03,North Carolina,1494,12263,13757,9535483
2016-03,North Dakota,1945,2711,4656,672591
2016-03,Ohio,40331,19408,59739,11536504
2016-03,Oklahoma,14892,8975,23867,3751351
2016-03,Oregon,15513,11510,27023,3831074
2016-03,Pennsylvania,60489,12299,72788,12702379
2016-03,Rhode Island,1411,858,2269,1052567
2016-03,South Carolina,12312,6138,18450,4625364
2016-03,South Dakota,3451,3588,7039,814180
2016-03,Tennessee,27951,14909,42860,6346105
2016-03,Texas,55547,31794,87341,25145561
2016-03,Utah,3772,3883,7655,2763885
2016-03,Vermont,1941,1715,3656,625741
2016-03,Virginia,26264,14622,40886,8001024
2016-03,Washington,19501,10947,30448,6724540
2016-03,West Virginia,9481,6336,15817,1852994
2016-03,Wisconsin,18439,14836,33275,5686986
2016-03,Wyoming,1995,2026,4021,563626
2016-02,Alabama,29311,15054,44365,4779736
2016-02,Arizona,16820,8782,25602,6392017
2016-02,Arkansas,10532,7028,17560,2915918
2016-02,California,44461,29486,73947,37253956
2016-02,Colorado,22384,13355,35739,5029196
