month,state,handgun,long_gun,total,population
2020-01,Mississippi,8790,5922,14712,2967297
2020-01,Missouri,20436,13149,33585,5988927
2020-01,Montana,2884,3010,5894,989415
2020-01,Nebraska,110,1923,2033,1826341
2020-01,Nevada,5250,2413,7663,2700551
2020-01,New Hampshire,5771,2913,8684,1316470
2020-01,New Jersey,4349,3639,7988,8791894
2020-01,New Mexico,6783,3648,10431,2059179
2020-01,New York,10227,12610,22837,19378102
2020-01,North Carolina,1836,12908,14744,9535483
2020-01,North Dakota,1771,2258,4029,672591
2020-01,Ohio,24218,13069,37287,11536504
2020-01,Oklahoma,14939,8277,23216,3751351
2020-01,Oregon,15332,9167,24499,3831074
2020-01,Pennsylvania,46160,13636,59796,12702379
2020-01,Rhode Island,1279,844,2123,1052567
2020-01,South Carolina,11488,5795,17283,4625364
2020-01,South Dakota,2782,2897,5679,814180
2020-01,Tennessee,28938,14788,43726,6346105
2020-01,Texas,53796,29103,82899,25145561
2020-01,Utah,3552,2959,6511,2763885
2020-01,Vermont,1500,1278,2778,625741
2020-01,Virginia,36391,21424,57815,8001024
2020-01,Washington,18390,8842,27232,6724540
2020-01,West Virginia,6543,5664,12207,1852994
2020-01,Wisconsin,14521,9835,24356,5686986
2020-01,Wyoming,2135,1656,3791,563626
2019-12,Alabama,33020,25882,58902,4779736
2019-12,Arizona,18178,10423,28601,6392017
2019-12,Arkansas,8671,10957,19628,2915918
2019-12,California,40637,30780,71417,37253956
2019-12,Colorado,22531,16681,39212,5029196
2019-12,Connecticut,5655,2215,7870,3574097
2019-12,Delaware,2075,2301,4376,897934
2019-12,District of Columbia,101,1,102,601723
2019-12,Florida,67435,31580,99015,18801310
2019-12,Georgia,21514,17664,39178,9687653
2019-12,Idaho,6745,7111,13856,1567582
2019-12,Illinois,24792,13258,38050,12830632
2019-12,Indiana,26770,18746,45516,6483802
2019-12,Iowa,271,4421,4692,3046355
2019-12,Kansas,8092,8653,16745,2853118
2019-12,Kentucky,16185,14471,30656,4339367
2019-12,Louisiana,14237,16743,30980,4533372
2019-12,Maine,3651,4119,7770,1328361
2019-12,Maryland,4175,6878,11053,5773552
2019-12,Massachusetts,4516,2789,7305,6547629
2019-12,Michigan,14303,14075,28378,9883640
2019-12,Minnesota,9835,11241,21076,5303925
2019-12,Mississippi,12935,14538,27473,2967297
2019-12,Missouri,26084,22222,48306,5988927
2019-12,Montana,4169,5522,9691,989415
2019-12,Nebraska,173,3205,3378,1826341
2019-12,Nevada,6307,3636,9943,2700551
2019-12,New Hampshire,5471,3255,8726,1316470
2019-12,New Jersey,3747,4341,8088,8791894
2019-12,New Mexico,7794,5184,12978,2059179
2019-12,New York,8899,16654,25553,19378102
2019-12,North Carolina,2559,22945,25504,9535483
2019-12,North Dakota,2155,3171,5326,672591
2019-12,Ohio,31054,23312,54366,11536504
2019-12,Oklahoma,19110,14320,33430,3751351
2019-12,Oregon,17610,14016,31626,3831074
2019-12,Pennsylvania,53180,20278,73458,12702379
2019-12,Rhode Island,1117,794,1911,1052567
2019-12,South Carolina,14905,11857,26762,4625364
2019-12,South Dakota,3264,4482,7746,814180
2019-12,Tennessee,35893,26800,62693,6346105
2019-12,Texas,69732,53386,123118,25145561
2019-12,Utah,5893,6783,12676,2763885
2019-12,Vermont,1610,1613,3223,625741
2019-12,Virginia,37790,29539,67329,8001024
2019-12,Washington,20508,11752,32260,6724540
2019-12,West Virginia,8815,9944,18759,1852994
2019-12,Wisconsin,17195,14486,31681,5686986
2019-12,Wyoming,3293,3077,6370,563626
2019-11,Alabama,24005,19212,43217,4779736
2019-11,Arizona,13775,8180,21955,6392017
2019-11,Arkansas,6814,9628,16442,2915918
2019-11,California,34345,25063,59408,37253956
2019-11,Colorado,17950,13946,31896,5029196
2019-11,Connecticut,4908,2321,7229,3574097
2019-11,Delaware,1684,2063,3747,897934
2019-11,District of Columbia,103,1,104,601723
2019-11,Florida,54799,24497,79296,18801310
2019-11,Georgia,16171,13002,29173,9687653
2019-11,Idaho,4875,5774,10649,1567582
2019-11,Illinois,21597,12115,33712,12830632
2019-11,Indiana,21903,17950,39853,6483802
2019-11,Iowa,348,4487,4835,3046355
2019-11,Kansas,7143,7349,14492,2853118
2019-11,Kentucky,12094,12686,24780,4339367
2019-11,Louisiana,11282,13282,24564,4533372
2019-11,Maine,2839,4424,7263,1328361
2019-11,Maryland,3447,7153,10600,5773552
2019-11,Massachusetts,4651,2868,7519,6547629
2019-11,Michigan,13255,19391,32646,9883640
2019-11,Minnesota,9148,13550,22698,5303925
2019-11,Mississippi,9210,11603,20813,2967297
2019-11,Missouri,21090,21032,42122,5988927
2019-11,Montana,3032,4517,7549,989415
2019-11,Nebraska,128,2954,3082,1826341
2019-11,Nevada,4892,2873,7765,2700551
